imfcode,country,year,AMCType,NumAMCOp,NumAMCCountry,NumAMCCountryLag,A1C,A2C,A3C,A4C,A5C,A6C,A7C,F1,F2,F3,F4,F5,F6,F7,source,note
213,ARGENTINA,1990,None,,,,,,,,,,,,,,,,,,http://www-wds.worldbank.org/servlet/WDSContentServer/WDSP/IB/2001/05/24/000094946_01050904164171/Rendered/PDF/multi0page.pdf,
213,ARGENTINA,1991,None,,,,,,,,,,,,,,,,,,http://www.argentour.com/economia/countryoverview.htm,
213,ARGENTINA,1992,NA,,,,,,,,,,,,,,,,,,Jacome_2008,
213,ARGENTINA,1993,NA,,,,,,,,,,,,,,,,,,,
213,ARGENTINA,1994,NA,,,,,,,,,,,,,,,,,,,
213,ARGENTINA,1995,None,,,,,,,,,,,,,,,,,,,
213,ARGENTINA,1996,NA,,,,,,,,,,,,,,,,,,,
213,ARGENTINA,1997,NA,,,,,,,,,,,,,,,,,,,
213,ARGENTINA,1998,NA,,,,,,,,,,,,,,,,,,,
213,ARGENTINA,1999,NA,,,,,,,,,,,,,,,,,,,
213,ARGENTINA,2000,NA,,,,,,,,,,,,,,,,,,,
213,ARGENTINA,2001,None,,,,,,,,,,,,,,,,,,,
213,ARGENTINA,2002,None,,,,,,,,,,,,,,,,,,,
213,ARGENTINA,2003,None,,,,,,,,,,,,,,,,,,,
213,ARGENTINA,2004,NA,,,,,,,,,,,,,,,,,,,
213,ARGENTINA,2005,NA,,,,,,,,,,,,,,,,,,,
213,ARGENTINA,2006,NA,,,,,,,,,,,,,,,,,,,
213,ARGENTINA,2007,NA,,,,,,,,,,,,,,,,,,,
213,ARGENTINA,2008,NA,,,,,,,,,,,,,,,,,,,
213,ARGENTINA,2009,NA,,,,,,,,,,,,,,,,,,,
213,ARGENTINA,2010,NA,,,,,,,,,,,,,,,,,,,
213,ARGENTINA,2011,NA,,,,,,,,,,,,,,,,,,,
911,ARMENIA,1980,NA,,,,,,,,,,,,,,,,,,,
911,ARMENIA,1981,NA,,,,,,,,,,,,,,,,,,,
911,ARMENIA,1982,NA,,,,,,,,,,,,,,,,,,,
911,ARMENIA,1983,NA,,,,,,,,,,,,,,,,,,,
911,ARMENIA,1984,NA,,,,,,,,,,,,,,,,,,,
911,ARMENIA,1985,NA,,,,,,,,,,,,,,,,,,,
911,ARMENIA,1986,NA,,,,,,,,,,,,,,,,,,,
911,ARMENIA,1987,NA,,,,,,,,,,,,,,,,,,,
911,ARMENIA,1988,NA,,,,,,,,,,,,,,,,,,,
911,ARMENIA,1989,NA,,,,,,,,,,,,,,,,,,,
911,ARMENIA,1990,NA,,,,,,,,,,,,,,,,,,,
911,ARMENIA,1991,NA,,,,,,,,,,,,,,,,,,,
911,ARMENIA,1992,NA,,,,,,,,,,,,,,,,,,,
911,ARMENIA,1993,NA,,,,,,,,,,,,,,,,,,,
